instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed203,20,203,B3,10,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.00532290000046487,0.024300600000060513,0.031154899999819463
synthetic-n20-seed203,20,203,LNS,1,True,432.0,7.413333333333332,30.779680594312058,16,6,3,0.19999999999999996,0.5862690124859891,0.0026216999995085644,0.30013010000038776,0.304627999999866
synthetic-n20-seed203,20,203,LNS,2,True,400.0,7.573333333333332,32.16403153478183,14,6,3,0.30000000000000004,0.5776719735637783,0.005714000000807573,0.30058090000056836,0.31591910000133794
synthetic-n20-seed203,20,203,LNS,3,True,448.0,7.926666666666667,24.502466143420218,16,6,3,0.19999999999999996,0.6028267585005873,0.015476000000489876,0.30009599999903,0.31723539999984496
synthetic-n20-seed203,20,203,LNS,4,True,488.0,7.606666666666667,28.828641721078426,15,6,3,0.25,0.6207093066717844,0.003800799999226001,0.3001777999998012,0.3060239999995247
synthetic-n20-seed203,20,203,LNS,5,True,456.0,7.413333333333332,32.41993530680961,15,6,3,0.25,0.6026280288319209,0.0055656999993516365,0.30066770000121323,0.31830400000035297
synthetic-n20-seed203,20,203,LNS,6,True,440.0,7.573333333333332,27.427710981300155,15,6,3,0.25,0.5903583934540623,0.010295300000507268,0.3002113999991707,0.3148873000009189
synthetic-n20-seed203,20,203,LNS,7,True,464.0,7.866666666666667,32.61369579675242,17,6,3,0.15000000000000002,0.625086646274665,0.005784700000731391,0.3000914999993256,0.3072668999993766
synthetic-n20-seed203,20,203,LNS,8,True,416.0,7.413333333333332,28.80939904685475,15,6,3,0.25,0.5736518805781776,0.005084000000351807,0.3001623000000109,0.3072606999994605
synthetic-n20-seed203,20,203,LNS,9,True,456.0,7.393333333333334,31.02562934256684,12,6,3,0.4,0.5991262607518218,0.0032768000000942266,0.30021250000027067,0.30486740000014834
synthetic-n20-seed203,20,203,LNS,10,True,432.0,7.253333333333334,26.394524741403863,15,6,3,0.25,0.5714658199549427,0.0039020000003802124,0.3001789000009012,0.30859270000109973
synthetic-n20-seed203,20,203,ALNS,1,True,416.0,8.06,29.779892420726494,16,6,3,0.19999999999999996,0.6007865931215132,0.001839000000472879,0.3002154999994673,0.30454660000032163
synthetic-n20-seed203,20,203,ALNS,2,True,400.0,7.573333333333332,32.16403153478183,14,6,3,0.30000000000000004,0.5776719735637783,0.0033695999991323333,0.3005357999991247,0.311322100000325
synthetic-n20-seed203,20,203,ALNS,3,True,424.0,7.9399999999999995,32.960823735696934,15,6,3,0.25,0.6066966238319407,0.01347910000004049,0.3004985999996279,0.3212389999989682
synthetic-n20-seed203,20,203,ALNS,4,True,424.0,7.6,29.02990549531868,16,6,3,0.19999999999999996,0.5857541604432244,0.003722600000401144,0.3006600000007893,0.3094961999995576
synthetic-n20-seed203,20,203,ALNS,5,True,416.0,7.52,33.077397806553925,16,6,3,0.19999999999999996,0.5861447222897946,0.005063200000222423,0.3004938999984006,0.30779549999897426
synthetic-n20-seed203,20,203,ALNS,6,True,424.0,7.606666666666667,35.594938799022685,15,6,3,0.25,0.5988266948636719,0.003755300000193529,0.30021750000014435,0.3055163999997603
synthetic-n20-seed203,20,203,ALNS,7,True,400.0,7.706666666666667,34.08505973676949,16,6,3,0.19999999999999996,0.5866253203019797,0.0065472000005684095,0.300537400000394,0.31128200000057404
synthetic-n20-seed203,20,203,ALNS,8,True,448.0,7.279999999999999,32.539115184393125,15,6,3,0.25,0.5932703879065974,0.007610899998326204,0.30010500000025786,0.30888359999880777
synthetic-n20-seed203,20,203,ALNS,9,True,472.0,7.879999999999999,31.1982239418148,12,6,3,0.4,0.6272306026227947,0.00262519999887445,0.3002113000002282,0.3051956999988761
synthetic-n20-seed203,20,203,ALNS,10,True,488.0,7.8933333333333335,32.213330229339455,18,6,3,0.09999999999999998,0.6385040409449974,0.0031017000001156703,0.30016250000153377,0.30498720000105095
synthetic-n20-seed203,20,203,ALNS_NO_SCHEDULE,1,True,424.0,7.966666666666667,29.825712853614696,16,6,3,0.19999999999999996,0.6016189939553815,0.001961400001164293,0.3006451000001107,0.3060345000012603
synthetic-n20-seed203,20,203,ALNS_NO_SCHEDULE,2,True,424.0,7.413333333333333,30.007637839718445,14,6,3,0.30000000000000004,0.5803763286927685,0.003994800001237309,0.3001985999999306,0.3084561000014219
