instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,validation_seconds,total_seconds
synthetic-n20-seed403,20,403,ALNS,7,True,624.0,9.766666666666666,19.815367602954737,15,5,3,0.25,0.5847725577447774,0.0027401000006648246,0.20010200000251643,0.0003575000009732321,0.2037586000005831
synthetic-n20-seed403,20,403,ALNS,8,True,600.0,9.14,20.491608426006742,13,5,3,0.35,0.5571018051272509,0.0018012000000453554,0.17627419999917038,0.00032110000029206276,0.17883050000091316
synthetic-n20-seed403,20,403,ALNS,9,True,584.0,9.2,19.556135981299548,15,5,3,0.25,0.5504667476112871,0.0018673999984457623,0.16147769999952288,0.00032079999800771475,0.16410299999915878
synthetic-n20-seed403,20,403,ALNS,10,True,632.0,9.52,19.340112873027916,15,5,3,0.25,0.580460930508523,0.0020168999981251545,0.17159579999861307,0.000343399999110261,0.17444759999852977
synthetic-n20-seed403,20,403,VNS,1,True,656.0,10.26,22.032211221896517,14,5,3,0.30000000000000004,0.6162794648475466,0.002135200000338955,0.03984940000009374,0.00034439999944879673,0.042896200000541285
synthetic-n20-seed403,20,403,VNS,2,True,624.0,9.513333333333334,21.176047999596626,12,5,3,0.4,0.5794139888176161,0.00187980000191601,0.0457274000000325,0.00033770000300137326,0.04845170000044163
synthetic-n20-seed403,20,403,VNS,3,True,640.0,9.32,26.107799071355714,15,5,3,0.25,0.5879715621814474,0.002141600001777988,0.04008790000079898,0.00036719999843626283,0.043142900001839735
synthetic-n20-seed403,20,403,VNS,4,True,656.0,10.74,23.612435430121568,14,5,3,0.30000000000000004,0.6324452025690981,0.002132900001015514,0.04434430000037537,0.0003818000004685018,0.04743580000285874
synthetic-n20-seed403,20,403,VNS,5,True,672.0,9.84,25.359801484740252,13,5,3,0.35,0.6159626973463566,0.0017571999997016974,0.0427938999964681,0.00032529999953112565,0.04537799999889103
synthetic-n20-seed403,20,403,VNS,6,True,656.0,10.346666666666668,23.718235262603304,15,5,3,0.25,0.6212235906052679,0.0020445000009203795,0.044858500001282664,0.0003656999979284592,0.04793250000147964
synthetic-n20-seed403,20,403,VNS,7,True,704.0,10.293333333333333,25.00653268576718,11,5,3,0.44999999999999996,0.642596683081406,0.001770599999872502,0.05253670000092825,0.0003721000030054711,0.055128799998783506
synthetic-n20-seed403,20,403,VNS,8,True,688.0,10.026666666666667,29.2843615249167,16,5,3,0.19999999999999996,0.6340529615262918,0.0018429000010655727,0.056718200001341756,0.0003255000010540243,0.05934089999936987
synthetic-n20-seed403,20,403,VNS,9,True,656.0,9.826666666666666,29.203901884225548,13,5,3,0.35,0.6141178454080762,0.0022386999989976175,0.053394299997307826,0.00037850000080652535,0.056469499999366235
synthetic-n20-seed403,20,403,VNS,10,True,664.0,9.973333333333333,18.82352362295157,14,5,3,0.30000000000000004,0.6068587675288484,0.0017026999994413927,0.043077700000139885,0.0003513999981805682,0.045606299998325994
synthetic-n20-seed404,20,404,B0,1,True,712.0,13.54,47.042454988671935,14,4,3,0.30000000000000004,0.7245721996413982,0.001763200001732912,1.2000000424450263e-05,0.0004259999986970797,0.0027334000005794223
synthetic-n20-seed404,20,404,B2,1,True,704.0,11.453333333333333,18.865662211786407,11,5,3,0.44999999999999996,0.6347730579138843,0.0017641999984334689,0.0038091999995231163,0.0003239999969082419,0.00652549999722396
synthetic-n20-seed404,20,404,B3,1,True,704.0,10.746666666666666,19.318164150535218,11,5,3,0.44999999999999996,0.617933038964371,0.0017735999972501304,0.007610399999975925,0.0003571999986888841,0.010279799997078953
